,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Number of vehicles (millions),65,62,61,62,75,94,93,97,103,108,116,116,94,98,100,103,106,111,112,115,117,122,126,126,129,136,136,137,130,137,133
1,Vehicle-kilometers traveled (millions),3449,3232,3031,3502,3680,4491,5217,5321,5399,5528,5580,5713,4427,4592,4780,5007,5154,5341,5525,5594,5710,5799,5907,6066,6268,6418,7081,6971,6995,7103,7128
2,Electric power consumed (million kJ),10468800,9302400,9219600,9525600,8805600,15177600,17413200,17470800,16977600,17514000,18291600,18244800,17722058,17667813,17861615,18452544,19373883,19744647,19905427,19828874,20366065,20754283,20772743,22375898,22812850,23372818,23088878,23522355,23422536,23942278,24022757
3,Primary energy consumed (thousand liters),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Diesel,787744,940296,1024332,1381903,1633027,2304324,2464417,2517897,2592795,2568444,2567365,2567592,2025035,2040977,2121525,2179979,2235701,2255796,2547732,2098201,2051686,1818723,1999591,1949313,1890434,2325884,2208583,2170588,2110668,2052848,1912887
5,Gasoline and other nondiesel fuelsb,726421,470148,258165,28678,43154,173008,128348,130472,140738,172887,227136,229888,95494,97382,83684,79862,89492,98453,133983,101033,116870,305558,177562,194192,257102,536272,555715,577706,594599,"(R) 653,995",550688
6,Compressed natural gas,N,N,N,N,N,N,N,N,3819,5977,18302,40655,43443,73204,109018,131826,165333,198772,248980,300774,327798,355322,418830,407700,426818,538120,477853,486420,469616,499294,521780
