,Personal vehicles ─ top 5 gateways,2003
0,"San Ysidro, CA",17408481
1,"El Paso, TX",13699206
2,"Brownsville, TX",7219865
3,"Hidalgo, TX",7169629
4,"Laredo, TX",6777423
