,Buses – top 5 gateways,2006
0,"Detroit, MI",36457
1,"Buffalo-Niagara Falls, NY",30295
2,"Blaine, WA",12776
3,"Skagway, AK",10405
4,"Champlain-Rouses Point, NY",8317
