,Personal vehicles ─ top 5 gateways,2007
0,"San Ysidro, CA",15696262
1,"El Paso, TX",14062053
2,"Hidalgo, TX",6835305
3,"Brownsville, TX",6476671
4,"Calexico, CA",5747309
