,Personal vehicle passengers – top 5 gateways,2006
0,"Buffalo-Niagara Falls, NY",13514778
1,"Detroit, MI",9932051
2,"Blaine, WA",5276202
3,"Port Huron, MI",4106919
4,"Champlain-Rouses Point, NY",2920749
