,Â,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Total confirmed releases,87528,126816,184457,237022,270567,303635,317488,341773,371387,397821,412392,418918,427307,439385,447233,452041,464728,474127,479817,488496,494997,501723,507540,514123,521271,528521
1,Cleanups initiated,51770,79506,129074,171082,209797,238671,252615,292446,314965,346300,367603,379243,384029,403558,412657,421924,435631,446940,455096,463060,470460,473314,481614,489575,498173,505468
2,Cleanups not initiated,35758,47310,55383,65940,60770,64964,64873,49327,56422,51521,44789,39675,43278,35827,34576,30117,29097,27187,24721,25436,24537,28409,25926,24548,23098,23053
3,Cleanups completed,16905,26666,55444,87065,107448,131272,152683,178297,203247,228925,249759,268833,284602,303120,317405,332799,350813,365361,377019,388331,401874,413740,424637,436406,447323,456660
4,Releases not cleaned up,70623,100150,129013,149957,163119,172363,164805,163476,168140,168896,162633,150085,142705,136265,129828,119242,113915,108766,102798,100165,93123,87983,82903,77717,73948,71861
