,Train passengers – top 5 gateways,2004
0,"Skagway, AK",52353
1,"Blaine, WA",41705
2,"Buffalo-Niagara Falls, NY",31045
3,"Champlain-Rouses Point, NY",30294
4,"Port Huron, MI",18297
