,Personal vehicle passengers – top 5 gateways,2008
0,"Buffalo-Niagara Falls, NY",13102189
1,"Detroit, MI",8386427
2,"Blaine, WA",5754718
3,"Port Huron, MI",3500157
4,"Champlain-Rouses Point, NY",1946442
