,Truck Container,2013
0,Total U.S.-Canadian border,5456616
1,Total top 5 gateways,3762608
2,"Detroit, MI",1513095
3,"Buffalo-Niagara, NY",919904
4,"Port Huron, MI",723725
5,"Blaine, WA",325266
6,"Champlain-Rouse Pt., NY",280618
