,Â,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,AIR CARRIERa,2125,2679,2495,3805,4678,6083,6054,7320,7297,7370,6865,7077,7043,7451,7859,7826,7746,7673,7564,7764,7686,7637,7732,7337,7169,7185,7168,6914,"(R) 6,736","(R) 6,754",6871
1,"Fixed Wing, total",2104,2663,2488,3803,4673,6072,6048,7187,7173,7242,7293,7357,7482,7994,8106,8010,8370,8161,8144,8150,8182,8042,7998,7808,U,U,U,U,U,U,U
2,"Turbojet, total",725,2136,2114,2526,3164,4148,4167,4446,4584,4636,4832,4922,5108,5411,5630,5956,6296,6383,6523,6691,6839,6784,6784,6670,U,U,U,U,U,U,U
3,Four engine,511,931,602,436,322,432,410,389,410,420,435,440,450,447,441,432,419,365,337,305,310,272,263,237,U,U,U,U,U,U,U
4,Three engine,173,659,994,1347,1488,1438,1376,1381,1292,1236,1210,1212,1224,1238,1181,1061,996,790,602,519,540,523,416,373,U,U,U,U,U,U,U
5,Two engine,41,546,518,743,1354,2278,2381,2676,2882,2980,3187,3270,3434,3726,4008,4463,4881,5228,5584,5867,5989,5989,6105,6060,U,U,U,U,U,U,U
6,"Turboprop, total",312,374,260,682,1073,1595,1598,1894,1868,1782,1713,1696,1646,1832,1788,1469,1494,1250,1123,989,889,803,761,701,U,U,U,U,U,U,U
7,Four engine,215,110,68,92,108,88,75,107,102,87,81,56,45,39,28,29,24,17,16,17,7,7,7,7,U,U,U,U,U,U,U
8,Two engine,89,259,192,590,965,1507,1523,1787,1751,1695,1632,1635,1596,1789,1759,1440,1470,1233,1107,968,880,791,750,685,U,U,U,U,U,U,U
9,One engine,8,5,U,U,U,U,U,U,15,0,0,5,5,4,1,0,0,0,0,4,2,5,4,9,U,U,U,U,U,U,U
10,"Piston, total",1067,153,114,595,436,329,283,847,721,824,748,739,728,751,688,585,580,528,498,470,454,455,453,437,U,U,U,U,U,U,U
11,Four engine,447,34,37,73,38,31,26,20,22,19,15,18,19,17,19,17,16,12,13,20,20,18,18,18,U,U,U,U,U,U,U
12,Three engine,590,110,69,U,4,6,5,5,0,5,1,7,4,3,3,3,3,3,3,2,2,14,15,14,U,U,U,U,U,U,U
13,Two engine,30,9,8,522,394,292,252,415,293,335,333,317,298,391,292,255,173,154,143,125,126,184,181,176,U,U,U,U,U,U,U
14,One engine,U,U,U,U,U,U,U,407,406,465,399,397,407,340,374,310,388,359,339,323,306,239,239,229,U,U,U,U,U,U,U
15,Helicopter,21,16,7,2,5,11,6,133,124,128,118,121,134,117,122,39,127,33,32,36,43,47,46,48,U,U,U,U,U,U,U
16,GENERAL AVIATION (GENERAL FLEET)b,95442,161743,168475,211043,196500,198000,196874,185650,177120,172935,188089,191129,192414,204710,219464,217533,211446,211244,209708,219426,224352,221943,231607,228663,223877,223370,220453,209034,199927,204408,210030
17,"Fixed Wing, totalc",93130,127934,161570,200094,184700,184500,182585,171671,156936,150158,162342,163691,166854,175203,184723,183276,177697,176283,176624,182867,185373,182186,186806,182961,177446,176272,173755,165257,158911,161321,164293
18,"Turbojet, total",U,950,1776,2992,4100,4100,4126,4004,3663,3914,4559,4424,5178,6066,7120,7001,7787,8355,7997,9298,9823,10379,10385,11042,11268,11484,11650,11793,11637,12362,13440
19,Two engined,U,822,1742,2551,3600,3700,3863,3738,3426,3652,4071,4077,4638,5513,6387,6215,5643,7655,7465,8649,9097,10379,U,U,U,U,U,U,U,U,U
20,Othere,U,128,34,441,50,400,263,266,237,262,488,347,539,552,733,786,831,701,532,650,727,U,U,U,U,U,U,U,U,U,U
21,"Turboprop, total",U,1458,2519,4089,5000,5300,4941,4786,4117,4093,4995,5716,5618,6174,5679,5762,6596,6841,7689,8379,7942,8063,9514,8906,9055,9369,9523,10304,9619,9777,9712
22,Two engined,U,1287,2486,3966,4900,4900,4415,4187,3443,3605,4295,4917,4939,5076,4641,5040,5643,5703,5790,5858,5307,5487,5456,5456,5096,5155,U,5215,5140,5188,5321
23,One engine,U,138,33,U,U,U,U,U,650,481,668,719,650,1033,1018,678,915,1108,1821,2468,2595,2576,4059,3450,3958,4214,U,5090,4478,4590,4391
24,Other,U,33,U,123,100,400,526,599,24,7,32,80,29,65,21,45,38,30,78,54,40,U,U,U,U,U,U,U,U,U,U
25,"Piston, total",92556,125526,157275,193013,175600,175200,173518,162880,149156,142152,152788,153551,156055,162963,171923,170513,163314,161087,160938,165189,167608,163743,166907,163013,157123,155419,152597,143160,137655,139182,141141
26,Two engined,11422,15835,20331,24366,22100,21100,20551,17966,15626,14750,15706,16082,15938,18659,20930,20951,18192,17483,17491,18469,19412,18708,19337,17515,16474,15900,15702,14313,13257,13146,13254
27,One engine,81134,109492,136944,168435,153400,154000,152836,144837,133516,127351,137049,137401,140038,144234,150886,149422,145034,143503,143265,146613,148101,145036,147569,145497,140649,139519,136895,128847,124398,126036,127887
28,Other,U,199,U,212,100,100,131,77,14,51,33,68,79,70,108,140,89,101,U,U,U,U,U,U,U,U,U,U,U,U,U
29,"Rotorcraft, total",1503,2255,4073,6001,6000,6900,6238,5979,4721,4728,5830,6570,6786,7425,7448,7150,6783,6648,6525,7821,8728,9159,9567,9876,9984,10102,10082,10055,9765,9966,10506
30,Piston,U,1666,2499,2794,2700,3200,2390,2348,1846,1627,1863,2507,2259,2545,2564,2680,2292,2351,2123,2315,3039,3264,2769,3498,3499,3588,3411,3292,3137,3154,3286
31,"Turbine, total",U,589,1574,3207,3300,3700,3848,3631,2875,3101,3967,4063,4526,4881,4884,4470,4491,4297,4403,5506,5689,5895,6798,6378,6485,6514,6671,6763,6628,6812,7220
32,Multiengine,U,U,U,U,U,U,U,U,629,616,733,643,764,843,839,694,884,686,853,1130,1151,1268,1367,1371,1520,1502,U,1663,1596,1685,1762
33,One engine,U,589,U,U,U,U,U,U,2246,2485,3234,3420,3762,4038,4045,3776,3607,3611,3550,4376,4537,4627,5431,5007,4965,5012,U,5100,5032,5127,5458
34,"Other Aircraft, total",809,1554,2832,4945,5800,6600,8051,8000,5037,5907,4741,4244,4091,5580,6765,6700,6545,6377,6008,5939,6454,6277,5940,5652,5480,5684,5681,5006,4277,4699,4941
35,Gliders,U,U,U,U,U,U,U,U,1814,2976,2182,1934,2016,2105,2041,2041,1904,1951,2002,2116,2074,1975,1947,1914,1808,1899,U,1820,1594,1791,1870
36,Lighter-than-Air,U,U,U,U,U,U,U,U,3223,2931,2559,2310,2075,3475,4725,4660,4641,4426,4006,3823,4380,4303,3993,3738,3672,3785,U,3186,2684,2908,3071
37,"Experimental, total",U,U,U,U,U,U,U,U,10426,12144,15176,16625,14680,16502,20528,20407,20421,21936,20550,22800,23627,23047,23228,23364,29497,29662,24275,26715,24918,26191,27922
38,Amateur Built,U,U,U,U,U,U,U,U,6171,8833,9328,11566,10261,13189,16858,16739,16736,18168,17028,19165,19817,19316,19538,19767,20794,21270,U,18843,17503,18873,21195
39,Exhibition,U,U,U,U,U,U,U,U,1868,637,2245,2094,1798,1630,1999,1973,2052,2190,2031,2070,2120,2103,2101,2096,2063,2029,U,1923,1908,1893,1966
40,Other,U,U,U,U,U,U,U,U,2387,2674,3603,2965,2620,1684,1671,1694,1633,1578,1491,1565,1691,1629,1589,1501,6640,6363,U,"(R) 5,948",5507,5425,4762
