,Truck,2007
0,Total U.S.-Mexican border,4882500
1,Total top 5 gateways,3895641
2,"Laredo, TX",1563836
3,"El Paso, TX",782936
4,"Otay Mesa, CA",738765
5,"Hidalgo, TX",486756
6,"Calexico East, CA",323348
