,Â,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Revenue passenger-miles (millions)a,5314,5680,5511,5381,5410,5784,6179,5914,6420,"(R) 6,568",6804,6810,6675,6536
1,"Total fuel consumed (billion Btu)a,b","(R) 17,069","(R) 15,901","(R) 15,209","(R) 14,576","(R) 14,338","(R) 14,549","(R) 14,815","(R) 14,400","(R) 14,580","(R) 14,543",14424,14589,14442,13875
2,"Electric (millions of kWh)a,b",518,537,551,531,549,578,582,565,559,555,549,525,515,504
3,Diesel (million gallons),84,75,69,65,62,62,63,62,63,63,63,66,66,62
4,"Energy intensity (Btu/revenue passenger-mile)a,b",3212,2800,2760,2709,2650,2515,2398,2435,2271,2214,2120,2142,2164,2123
5,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
