,Personal vehicles ─ top 5 gateways,2008
0,"El Paso, TX",13716434
1,"San Ysidro, CA",13672329
2,"Hidalgo, TX",6982770
3,"Brownsville, TX",6567121
4,"Laredo, TX",6105126
