,Train,2003
0,Total U.S.-Canadian border,34137
1,Total top 5 gateways,19646
2,"Port Huron, MI",5447
3,"Detroit, MI",4246
4,"International Falls, MN",3928
5,"Warroad, MN",3062
6,"Buffalo-Niagara, NY",2963
