,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,TOTAL paved and unpaved,5706,5938,6003,6177,6212,6218,6223,6251,6278,6285,6287,6296,6331,6370,6355,6325,6357,6377,6406,6419,6430,6454,6488,6513,6531,N,N,6407,6541,6552,6703
1,"Pavedb, total",1980,2341,2669,2986,3336,3402,3629,3669,3706,3666,3769,3827,3831,3878,3895,3945,4031,4061,4148,4204,4149,4187,4232,4241,4400,N,N,4193,4259,4309,4416
2,Low and intermediate typec,1082,1220,1443,1556,1676,1634,1649,1657,1651,1625,1678,1709,1716,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3,High-typec,899,1121,1226,1430,1660,1769,1980,2012,2055,2041,2091,2118,2115,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4,"Unpavedd, total",3726,3597,3334,3191,2876,2816,2594,2582,2572,2619,2518,2469,2500,2492,2460,2380,2326,2315,2258,2215,2281,2267,2256,2272,2131,N,N,2214,2282,2243,2287
