,Personal vehicle passengers ─ top 5 gateways,2003
0,"San Ysidro, CA",39180519
1,"El Paso, TX",26317018
2,"Brownsville, TX",15673205
3,"Hidalgo, TX",15587611
4,"Laredo, TX",15208606
