,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
0,Aircraft revenue-miles (thousands) 4,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Domestic,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
2,"Certificated, all services a,d",858451,2067598,2523375,3963268,4379929,4629393,4811447,4939436,5033144,5332176,5662443,5549662,5602737,6086649,6591637,6714903,6624022
3,"Majors, all services",716961,1778065,2113669,3767330,3760067,3854368,4062122,4218049,4260051,4445133,4784664,4680578,4432285,4267107,4632828,4923387,5388726
4,"Nationals, all services",94794,247055,330528,120599,447024,592345,591638,572654,613823,801719,805439,810665,915170,1259491,1498161,1434676,901647
5,"Large regionals, all services",N,N,56995,70881,100478,100004,110976,133571,134852,58329,52390,37399,37516,76478,101418,121016,148692
6,International,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,"Certificated, all services a,d",181605,474666,400971,760334,979769,997656,1043312,1114063,1186222,1225217,1281702,1263543,1221086,1261917,1403378,1535929,1594357
8,"Majors, all services",N,N,330391,694479,809243,815701,853424,917108,1003727,1043730,1117709,1119126,1050808,1028158,1148209,1250037,1325504
9,"Nationals, all services",N,N,66499,24301,108392,125951,145847,142658,127037,134370,127550,124765,141670,185397,197334,231735,216064
10,"Large regionals, all services",N,N,2948,33893,46040,48867,32005,39516,51100,41440,30848,15409,25896,41241,49211,40654,36701
11,"Other certificated, all services, domestic and international d",N,N,23204,12120,88454,89811,58747,29942,28775,32674,25545,25264,220478,490693,367854,249326,201045
12,Total certificated d,1040056,2542264,2924346,4723602,5359697,5627048,5854760,6053499,6219366,6557393,6944145,6813205,6823823,7348566,7995015,8250831,8218378
13,Aircraft revenue-hours 4,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
14,Domestic,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
15,"Certificated, all services a,d",3672900,5133161,6247795,9717375,10721577,11378503,11871886,12133348,12443855,13090460,13901641,13510998,13676524,15294961,16405347,16694269,16415836
16,"Majors, all services",2802317,4066480,4941327,9053789,8864840,9023772,9512983,9898147,9957390,10349992,11308820,11028054,10328412,9862773,10758395,11519750,12709883
17,"Nationals, all services",606146,908935,919187,458621,1362863,1832909,1934433,1828382,2002173,2515044,2403184,2305781,2407006,3383803,3917027,3761623,2373121
18,"Large regionals, all services",N,N,267522,192944,273642,269811,298415,366439,422770,156201,137993,104522,99411,187758,252384,318276,381713
19,International,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
20,"Certificated, all services a,d",608736,977325,819518,1556760,1978378,2021060,2113467,2235792,2381246,2456580,2595893,2565169,2487258,2593915,2881257,3155013,3281909
21,"Majors, all services",N,N,668199,1410263,1607155,1619755,1699958,1819583,1992776,2071507,2229167,2240214,2105500,2067148,2317972,2541139,2692590
22,"Nationals, all services",N,N,140329,50293,227077,262285,319919,303335,275180,281706,288953,282776,319353,417332,431858,492092,466897
23,"Large regionals, all services",N,N,7583,75786,108717,122659,68418,82063,103813,88224,66058,33173,57086,91932,109372,87461,80143
24,"Other certificated, all services, domestic and international d",N,N,123411,32439,255661,268372,151227,71191,70999,84366,63359,81647,847014,1878130,1499596,1128941,993398
25,Total certificated d,4281636,6110486,7190724,11274135,12699955,13399563,13985353,14369140,14825101,15547040,16497534,16076167,16163782,17888876,19286604,19849282,19697745
26,Revenue passenger-miles (thousands) 4,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
27,Domestic,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
28,"Certificated, all services a,d",31098944,108441978,204367599,345872950,388410210,403911656,434651687,452827860,462753505,488356869,515621596,486506043,481195481,505221674,557890670,583757943,590634648
29,"Majors, all services",29430428,99903229,182984795,340628946,352063855,360719108,395099254,413060869,421217665,440442129,472284794,440413336,426401276,424165007,462025653,498200614,527266645
30,"Nationals, all services",1170779,7642071,20466712,2655442,27508958,33696612,30396752,31989076,34070192,43371272,39560329,43541665,48687149,67906918,84458947,78505474,55504378
31,"Large regionals, all services",N,N,711868,2285750,5915731,5646715,6366240,6860718,6000206,3205826,2731996,1747222,1748996,3595739,5915613,4850116,5754152
32,International,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
33,"Certificated, all services a,d",8950672,39695392,63354387,126362697,149107689,154882007,161512010,169356100,172179498,180269038,192797653,178343116,171998786,168601124,194173889,211359416,219471625
34,"Majors, all services",N,N,54318160,121910801,133299897,137389923,145330811,153564956,157398986,166320739,181585899,169335392,163576484,156267732,179788447,195635675,206669607
35,"Nationals, all services",N,N,8659592,3152239,12939400,15509364,14681127,13616245,12232424,11504031,7793324,7710903,6803586,8995296,11101736,14120367,12074172
36,"Large regionals, all services",N,N,330288,988679,2484738,1685684,505337,760809,2261005,2034607,3218488,1185896,1540681,3211186,3200033,1528876,394327
37,"Other certificated, all services, domestic and international d",N,N,250571,613790,3305320,4146257,3784176,2331287,1752525,1747303,1244419,914745,4436095,9680920,5574130,2276237,2442992
