,Truck,2010
0,Total U.S.-Canadian border,5444405
1,Total top 5 gateways,3632463
2,"Detroit, MI",1452659
3,"Buffalo-Niagara, NY",898752
4,"Port Huron, MI",670769
5,"Blaine, WA",318059
6,"Champlain-Rouse Pt., NY",292224
