,Truck,2002
0,Total U.S.-Canadian border,6915973
1,Total top 5 gateways,4567704
2,"Detroit, MI",1670565
3,"Buffalo-Niagara, NY",1208095
4,"Port Huron, MI",907729
5,"Blaine, WA",410256
6,"Champlain-Rouses Point, NY",371059
