,Truck,2004
0,Total U.S.-Mexican border,4503688
1,Total top 5 gateways,3604137
2,"Laredo, TX",1391850
3,"Otay Mesa, CA",726164
4,"El Paso, TX",719545
5,"Hidalgo, TX",454351
6,"Calexico East, CA",312227
