,Train,2006
0,Total U.S.-Mexican border,10166
1,Total top 5 gateways,9344
2,"Laredo, TX",3850
3,"El Paso, TX",2449
4,"Eagle Pass, TX",1337
5,"Brownsville, TX",1055
6,"Nogales, AZ",653
