,Buses – top 5 gateways,2007
0,"Buffalo-Niagara Falls, NY",37529
1,"Detroit, MI",33615
2,"Blaine, WA",14405
3,"Skagway, AK",11309
4,"Champlain-Rouses Point, NY",8124
