,Buses – top 5 gateways,2004
0,"Buffalo-Niagara Falls, NY",39920
1,"Detroit, MI",37229
2,"Sault Ste. Marie, MI",17453
3,"Blaine, WA",14279
4,"Skagway, AK",9515
