,Truck Container,2007
0,Total U.S.-Mexican border,4852936
1,Total top 5 gateways,3881283
2,"Laredo, TX",1563860
3,"El Paso, TX",759319
4,"Otay Mesa/San Ysidro, CA",735305
5,"Hidalgo, TX",496413
6,"Calexico East, CA",326386
