,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Vehicles registered (thousands),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,"Light duty vehicles, short wheel base",61671,75258,89244,106706,121601,127885,133700,128300,126581,127327,127883,128387,129728,129749,131839,132432,133621,137633,135921,135670,136431,136568,135400,196491,196763,193980,190203,183523,183172,184497,187555
2,Motorcycles,574,1382,2824,4964,5694,5444,4259,4177,4065,3978,3757,3897,3872,3826,3879,4152,4346,4903,5004,5370,5768,6227,6679,7138,7753,7930,8010,8438,8455,8405,8418
3,Vehicle-kilometers traveled (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,"Light duty vehicles, short wheel basea",944685,1163556,1475768,1664062,1789591,2006852,2265956,2185489,2208020,2212848,2262738,2314237,2365501,2418129,2493802,2525222,2575412,2620546,2669055,2690950,2735708,2749437,2720651,3386729,3258531,3243977,3260120,3293172,3319799,3338460,3334676
5,Motorcycles,U,U,4828,9012,16415,14645,15450,14806,15450,15933,16415,15772,15965,16224,16549,17033,16848,15512,15372,15413,16290,16824,19392,34434,33492,33510,29794,29841,34416,32776,32138
6,Fuel consumed (million liters),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,"Light duty vehicles, short wheel basea",155849,188222,256723,280650,264911,270725,263344,243466,247702,253804,256931,257681,262030,264571,271396,277406,276582,278450,285690,285627,285427,293059,283940,339085,323991,324249,328530,334474,335388,335429,338040
8,Motorcycles,U,U,227,428,772,689,723,697,723,750,776,742,751,763,779,801,793,731,723,725,766,715,837,1798,1853,1826,1615,1614,1859,1770,1736
9,Average kilometers traveled per vehicle (thousands),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,"Light duty vehicles, short wheel basea",15.3,15.5,16.5,15.6,14.7,15.7,16.9,17.0,17.4,17.4,17.7,18.0,18.2,18.6,18.9,19.1,19.3,19.0,19.6,19.8,20.1,20.1,20.1,17.2,16.6,16.7,17.1,17.9,18.1,18.1,17.8
11,Motorcycles,U,U,1.7,1.8,2.9,2.7,3.6,3.5,3.8,4.0,4.4,4.0,4.1,4.2,4.3,4.1,3.9,3.2,3.1,2.9,2.8,2.7,2.9,4.8,4.3,4.2,3.7,3.5,4.1,3.9,3.8
12,Average kilometers traveled per liter,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
13,"Light duty vehicles, short wheel basea",6.1,6.2,5.7,5.9,6.8,7.4,8.6,9.0,8.9,8.7,8.8,9.0,9.0,9.1,9.2,9.1,9.3,9.4,9.3,9.4,9.6,9.4,9.6,10.0,10.1,10.0,9.9,9.8,9.9,10.0,9.9
14,Motorcycles,U,U,21.3,21.1,21.3,21.3,21.4,21.3,21.4,21.3,21.2,21.3,21.3,21.3,21.3,21.3,21.3,21.2,21.3,21.3,21.3,23.5,23.2,19.2,18.1,18.4,18.4,18.5,18.5,18.5,18.5
15,Average fuel consumed per vehicle (liters),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
16,"Light duty vehicles, short wheel basea",2527,2501,2877,2630,2179,2117,1970,1898,1957,1993,2009,2007,2020,2039,2059,2095,2070,2023,2102,2105,2092,2146,2097,1726,1647,1672,1727,1823,1831,1818,1802
17,Motorcycles,U,U,80,86,136,127,170,167,178,188,207,190,194,199,201,193,182,149,145,135,133,115,125,252,239,230,202,191,220,211,206
