,Truck Container,2011
0,Total U.S.-Mexican border,4797940
1,Total top 5 gateways,3845841
2,"Laredo, TX",1695576
3,"Otay Mesa/San Ysidro, CA",747531
4,"El Paso, TX",630469
5,"Hidalgo, TX",459028
6,"Calexico East, CA",313237
