,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(P) 2013,(P) 2014
0,"All transit rail, total",14931,14650,15760,13812,12697,13969,13655,6846,6294,6735,6104,6806,7494,9661,9877,9604,9379,9089,10163,7717
1,Transit only,14736,14466,15634,13754,12538,13846,13581,6738,6177,6582,5910,6598,7281,9484,9644,9320,9078,8849,10021,7535
2,Grade crossing,195,184,126,58,159,123,74,108,117,153,194,208,213,177,233,284,301,240,142,182
3,"Light rail, total",1319,1604,1087,1076,1271,1338,1201,557,539,633,618,659,838,950,911,723,766,729,771,917
4,Transit only,N,N,N,N,N,1227,1147,481,471,519,458,505,669,782,703,472,510,516,651,753
5,Grade crossing,N,N,N,N,N,111,54,76,68,114,160,154,169,168,208,251,256,213,120,164
6,"Heavy rail, total",11238,11093,12285,11059,9665,10848,10641,4806,4158,4738,3814,4721,4789,7011,7158,6976,6688,6717,7708,5286
7,Transit only,N,N,N,N,N,10847,10634,4801,4158,4738,3813,4721,4773,7008,7157,6974,6686,6713,7707,5284
8,Grade crossing,N,N,N,N,N,1,7,5,0,0,1,0,16,3,1,2,2,4,1,2
9,"Automated guideway, total",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,114,77,89,65
10,Transit only,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,114,77,89,65
11,Grade crossing,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0
12,"Commuter rail, total",2374,1953,2388,1677,1761,1783,1813,1483,1597,1364,1672,1426,1867,1700,1808,1905,1811,1566,1595,1449
13,Transit only,N,N,N,N,N,1772,1800,1456,1548,1325,1639,1372,1839,1694,1784,1874,1768,1543,1574,1433
14,Grade crossing,N,N,N,N,N,11,13,27,49,39,33,54,28,6,24,31,43,23,21,16
