,Personal vehicles ─ top 5 gateways,2004
0,"San Ysidro, CA",17621030
1,"El Paso, TX",14817206
2,"Brownsville, TX",7211401
3,"Hidalgo, TX",7183674
4,"Laredo, TX",6725119
