,Truck,2011
0,Total U.S.-Mexican border,4868376
1,Total top 5 gateways,3921752
2,"Laredo, TX",1695916
3,"Otay Mesa, CA",744929
4,"El Paso, TX",714699
5,"Hidalgo, TX",453235
6,"Calexico East, CA",312973
