,All U.S.-Canadian land gateways,2014
0,All personal vehicle passengers,"(R) 59,681,417"
1,All personal vehicles,31979736
2,All bus passengers,2243782
3,All pedestrians,423605
4,All train passengers,"(R) 283,213"
5,All buses,"(R) 103,748"
