,Pedestrians ─ top 5 gateways,2014
0,"San Ysidro, CA",7925371
1,"El Paso, TX",6572313
2,"Calexico, CA",4567333
3,"Laredo, TX",3447437
4,"Otay Mesa, CA",3415957
