,Truck Container,2006
0,Total U.S.-Mexican border,4740407
1,Total top 5 gateways,3777395
2,"Laredo, TX",1518819
3,"El Paso, TX",757795
4,"Otay Mesa/San Ysidro, CA",748146
5,"Hidalgo, TX",462859
6,"Nogales, AZ",289776
