,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,"Production, total",7894,11114,8263,8965,8011,11638,9767,8790,9691,10855,12239,11995,11830,12131,12003,13025,12774,11425,12280,12087,11960,11947,11260,10752,8672,5710,7744,8662,10336,11066,11661,12105
1,Passenger cars,6696,9329,6546,6706,6372,8186,6078,5440,5667,5982,6601,6326,6035,5878,5492,5578,5471,4808,4957,4453,4166,4266,4312,3867,3731,2196,2732,2978,4109,4369,4253,4162
2,Commercial vehiclesa,1198,1785,1717,2260,1638,3452,3690,3350,4025,4873,5638,5669,5795,6252,6510,7447,7303,6617,7322,7634,7794,7681,6949,6885,4941,3514,5012,5685,6227,6698,7408,7943
3,"Factory (wholesale) sales, total",7869,11057,8239,8985,8067,11467,9775,8795,9747,10857,12189,12023,11916,12223,12112,12773,12527,11108,U,U,U,U,U,U,U,U,U,U,U,U,U,U
4,Passenger cars,6675,9306,6547,6713,6400,8002,6050,5407,5685,5962,6549,6310,6140,6070,5677,5428,5504,4884,U,U,U,U,U,U,U,U,U,U,U,U,U,U
5,Commercial vehiclesa,1194,1752,1692,2272,1667,3464,3725,3388,4062,4895,5640,5713,5776,6153,6435,7345,7022,6224,6964,7143,7467,7247,6443,6201,4323,3107,4132,4642,4977,5394,6040,6464
