,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,Total government revenues,94148,97054,100652,112144,128299,127545,125004,130936,132237,135876,148097,154526,164888,164396,158587,161782,172674,180175
1,Federal,30289,30839,31516,39061,52037,46764,42844,45695,46149,46045,52755,51784,54971,53276,48190,48554,51660,55475
2,State and local,63859,66215,69136,73083,76262,80781,82160,85242,86089,89831,95342,102743,109917,111120,110397,113227,121014,124699
3,Total government expenditures,142991,148701,155284,162944,178873,186420,212580,225700,237468,234587,244518,254207,275256,294048,310836,317316,314377,319817
4,State and local expenditures including federal grants,123327,129163,135878,142254,156371,165090,180838,188021,195434,198443,208040,220929,241619,256501,270474,271476,270633,281350
5,Federal grants,24829,24823,25966,24980,29433,33569,37026,40286,39983,40051,42081,42061,44048,49808,51460,48098,45687,53113
6,"Federal expenditures, less grants",19664,19537,19406,20690,22502,21330,31742,37679,42034,36144,36478,33278,33637,37547,40363,45839,43744,38467
