,Truck,2012
0,Total U.S.-Mexican border,5103923
1,Total top 5 gateways,4097483
2,"Laredo, TX",1789546
3,"Otay Mesa, CA",778929
4,"El Paso, TX",724964
5,"Hidalgo, TX",481620
6,"Calexico East, CA",322424
