,Â,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,2014
0,Total all sources,13.02,7.56,7.01,41.32,27.75,27.35,27.1,27.36,28.61,25.82,22.86,22.91,22.89,23.38,23.75,23.71,(R) 21.58,21.66,21.75,21.3,21.4,21.5,21.58,21.2,20.82,20.72,20.69,20.65,20.62
1,Highway vehicles,0.48,0.46,0.43,0.41,0.39,0.37,0.35,0.34,0.32,0.3,0.29,0.27,0.26,0.24,0.23,0.21,(R) 0.40,0.4,0.39,0.38,0.38,0.37,0.33,0.3,0.28,0.37,0.35,0.32,0.3
2,Off-Highway,0.16,0.21,0.26,0.3,0.33,0.33,0.33,0.34,0.34,0.34,0.34,0.34,0.33,0.34,0.32,0.32,(R) 0.36,0.34,0.32,0.3,0.28,0.26,0.26,0.24,0.23,0.22,0.21,0.2,0.19
3,Fuel combustion,2.87,2.25,2.45,1.54,1.2,1.15,1.18,1.12,1.11,1.18,0.91,0.91,0.84,1.46,1.47,1.49,1.45,1.45,1.45,1.44,1.29,1.14,0.99,0.98,0.98,0.98,0.98,0.98,0.98
4,Industrial processesb,7.67,3.7,2.75,1.06,1.04,0.99,0.99,0.91,0.91,0.95,0.65,0.67,0.67,0.69,0.71,0.74,1.19,1.2,1.21,1.22,1.24,1.25,1.27,1.16,1.05,0.94,0.94,0.94,0.94
5,Waste disposal and recycling,1.0,0.37,0.27,0.28,0.27,0.28,0.28,0.33,0.31,0.29,0.45,0.47,0.49,0.47,0.36,0.36,0.29,0.29,0.29,0.29,0.27,0.25,0.24,0.22,0.21,0.19,0.19,0.19,0.19
6,Miscellaneousc,0.84,0.57,0.85,37.74,24.54,24.23,23.96,24.33,25.62,22.77,20.22,20.25,20.31,20.19,20.65,20.58,17.88,17.99,18.09,17.66,17.94,18.22,18.5,18.29,18.08,18.01,18.01,18.01,18.01
