,Rail Container,2009
0,Total U.S.-Canadian border,1553416
1,Total top 5 gateways,1115410
2,"Port Huron, MI",369321
3,"International Falls, MN",295171
4,"Portal, ND",194884
5,"Detroit, MI",155283
6,"Buffalo-Niagara, NY",100751
