,Truck,2003
0,Total U.S.-Mexican border,4238045
1,Total top 5 gateways,3378199
2,"Laredo, TX",1354229
3,"Otay Mesa, CA",697152
4,"El Paso, TX",659614
5,"Hidalgo, TX",406064
6,"Calexico East, CA",261140
