,Â,1994,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,OVERALL Safety Belt Use,58,61,69,67,71,73,75,79,80,82,81,82,83,84,85,84,86,87,(R) 88,89
1,Drivers,59,62,70,67,72,74,76,80,81,83,82,83,84,85,86,84,87,88,87,89
2,Passengers,55,59,65,64,68,72,73,77,76,78,78,81,81,82,83,82,84,85,(R) 86,87
3,Passenger carsb,63,65,71,70,74,76,77,81,81,83,82,84,84,86,86,85,87,88,88,90
4,Drivers,64,65,72,71,75,77,78,U,U,U,U,U,U,U,U,U,U,U,U,U
5,Passengers,59,62,68,66,70,74,74,U,U,U,U,U,U,U,U,U,U,U,U,U
6,"Light trucksb,c",50,56,66,62,68,69,73,U,U,U,U,U,U,U,U,U,U,U,U,U
7,Drivers,51,58,67,62,69,70,73,U,U,U,U,U,U,U,U,U,U,U,U,U
8,Passengers,49,53,61,60,65,69,72,U,U,U,U,U,U,U,U,U,U,U,U,U
9,Vans and sport utility vehiclesc,U,U,U,U,U,U,U,83,83,85,84,86,86,87,88,87,89,90,89,90
10,Pickup trucksc,U,U,U,U,U,U,U,69,70,73,74,72,74,74,75,74,77,78,77,81
11,Motorcycle Helmet Used,63,64,67,U,71,U,58,U,58,48,51,58,63,67,54,66,60,60,64,61
12,Riders (Operators),67,66,64,U,72,U,59,U,63,56,57,59,64,69,55,67,63,62,67,64
13,Passengers,54,58,84,U,62,U,48,U,41,29,33,56,54,55,51,64,46,50,51,46
