,Personal vehicles – top 5 gateways,2015
0,"Buffalo-Niagara Falls, NY",4902293
1,"Blaine, WA",4234824
2,"Detroit, MI",4046472
3,"Port Huron, MI",1618685
4,"Champlain-Rouses Point, NY",1030395
