,Rail Container,2010
0,Total U.S.-Canadian border,1802259
1,Total top 5 gateways,1265980
2,"Port Huron, MI",390777
3,"International Falls, MN",348086
4,"Portal, ND",217195
5,"Detroit, MI",184290
6,"Blaine, WA",125632
