,Truck,2013
0,Total U.S.-Canadian border,5648658
1,Total top 5 gateways,3830616
2,"Detroit, MI",1533049
3,"Buffalo-Niagara, NY",937192
4,"Port Huron, MI",731165
5,"Blaine, WA",349983
6,"Champlain-Rouse Pt., NY",279227
