,Bus passengers – top 5 gateways,2015
0,"Buffalo-Niagara Falls, NY",521945
1,"Champlain-Rouses Point, NY",309236
2,"Blaine, WA",308218
3,"Detroit, MI",229636
4,"Skagway, AK",161821
