,Personal vehicle passengers ─ top 5 gateways,2004
0,"San Ysidro, CA",33382991
1,"El Paso, TX",28108167
2,"Hidalgo, TX",15514648
3,"Brownsville, TX",15374317
4,"Laredo, TX",15032956
