,Personal vehicles – top 5 gateways,2014
0,"Buffalo-Niagara Falls, NY",5446904
1,"Blaine, WA",4873847
2,"Detroit, MI",4027427
3,"Port Huron, MI",1975750
4,"Point Roberts, WA",1190183
