,Â,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014
0,TOTAL fatal crashes,39161,45284,39196,39836,36937,34942,35780,36254,37241,37494,37324,37107,37140,37526,37862,38491,38477,38444,39252,38648,37435,34172,30862,31925,31470,32598,31918,31702
1,"Under 55 mph, total",15233,20079,19278,19136,17507,16827,16985,16948,17439,17345,17258,17018,16963,17054,17582,17651,17422,17758,18461,18327,17767,16555,15058,15541,15476,16383,16062,15847
2,"5,10,15, 20, 25 mpha",2617,2865,2504,2234,2097,1911,1895,1890,1893,1896,1955,1873,1863,1827,1919,1897,1883,1904,1947,1972,2054,1910,1700,1930,1955,2101,2072,2162
3,"30, 35 mph",6099,8527,7890,7756,6908,6696,6759,6565,6681,6445,6383,6025,5946,6079,6260,6090,5995,6064,6337,6347,5946,5773,5141,5310,5297,5552,5407,5286
4,"40, 45 mph",4276,6256,6812,7092,6608,6345,6454,6632,6938,7096,7132,7349,7245,7315,7576,7784,7717,7964,8359,8172,7994,7343,6679,6833,6780,7206,7053,7005
5,50 mph,2241,2431,2072,2054,1894,1875,1877,1861,1927,1908,1788,1771,1909,1833,1827,1880,1827,1826,1818,1836,1773,1529,1538,1468,1444,1524,1530,1394
6,"55 mph and above, total",16095,20352,18871,19749,18630,17450,18144,18698,19140,19460,19251,19333,19373,19735,19416,19898,19995,19780,19857,19252,18675,16771,14990,15082,14642,14883,14401,14420
7,55 mph,16094,20352,18863,17556,16543,15444,15980,16512,16753,14097,12897,12522,12184,12143,11847,12268,12155,11893,11760,11337,10997,9820,8859,8875,8574,8803,8320,8141
8,60 mph,0,0,2,18,9,4,9,13,16,523,935,1073,1069,1163,1221,1270,1364,1296,1347,1359,1332,1236,1078,1065,1059,1062,1057,1138
9,65 mph,1,0,2,2175,2078,2002,2155,2173,2323,3214,3311,3421,3537,3686,3721,3742,3848,3856,3966,3960,3816,3424,3040,3063,2898,2641,2666,2655
10,70 mph,0,0,3,0,0,0,0,0,38,1282,1633,1835,2079,2230,2116,2027,2039,2127,2198,2077,2074,1836,1629,1709,1711,1820,1575,1609
11,Over 70 mph,0,0,1,0,0,0,0,0,10,344,475,482,504,513,511,591,589,608,586,519,456,455,384,370,400,557,783,877
12,Unknownb,7833,4853,1047,951,800,665,651,608,662,689,815,756,804,737,864,942,1060,906,934,1069,993,846,814,1302,1352,1332,1455,1431
