,Rail Container,2005
0,Total U.S.-Canadian border,1940557
1,Total top 5 gateways,1325479
2,"Port Huron, MI",457275
3,"International Falls, MN",251118
4,"Portal, ND",231832
5,"Detroit, MI",231482
6,"Buffalo-Niagara, NY",153772
