,Â,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Revenue freight ton-miles (millions),1465960.0,1495472.0,1507011.0,1551438.0,1662598.0,1696425.0,1771897.0,1770545.0,1777236.0,1532214.0,1691004.0,1729256.0,1712567.0,1740687.0,1851229.0
1,Car-miles (millions),34590.0,34243.0,34680.0,35555.0,37071.0,37712.0,38955.0,38186.0,37226.0,32115.0,35541.0,36649.0,36525.0,35253.0,37193.0
2,Tons per car load,62.6,64.0,63.3,62.3,61.3,61.0,60.9,61.7,63.1,64.2,63.4,62.9,62.0,61.0,60.9
3,Fuel consumed (million gallons),3700.0,3710.0,3730.0,3826.0,4059.0,4098.0,4192.0,4062.0,3886.0,3192.0,3494.0,3685.0,3600.0,3682.0,3867.0
4,Energy intensity (Btu/revenue freight ton-mile),350.0,344.0,343.0,342.0,339.0,335.0,328.0,318.0,303.0,289.0,287.0,296.0,292.0,293.0,290.0
5,Energy intensity (Btu/car-mile),14836.0,15027.0,14918.0,14925.0,15187.0,15072.0,14926.0,14754.0,14479.0,13786.0,13635.0,13946.0,13671.0,14487.0,14421.0
