,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,2014
0,Vehicle-miles (millions),1576,1528,1409,1526,1677,1863,2130,2167,2178,2210,2162,2184,1673,"(R)1,849","(R)1,904","(R)1,985","(R)2,041","(R)2,104","(R)2,156","(R)2,117","(R)2,169","(R)2,192","(R)2,214","(R)2,241","(R)2,272",2285,2229,2160,2147,2155,2182
1,Passenger-miles (millions),N,N,N,N,21790,21161,20981,21090,20336,20247,18832,18818,15820,"(R)17,509","(R)17,874","(R)18,684","(R)18,807","(R)19,583","(R)19,679","(R)19,179","(R)18,921","(R)19,425","(R)20,390","(R)20,388","(R)21,198",21100,22570,37765,21142,21257,21429
2,Energy consumed,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
3,Diesel (million gallons),208,248,271,365,431,518,563,573,592,576,565,564,466,463,468,477,490,492,468,442,441,375,422,405,403,448,423,417,402,383,356
4,Compressed Natural Gas (million gallons),N,N,N,N,N,N,N,N,N,N,N,10,10,18,27,33,42,51,65,78,85,93,109,106,111,140,124,126,122,128,132
5,Bio-diesel (million gallons),N,N,N,N,N,N,N,N,N,N,N,N,N,Â,Â,Â,N,N,1,1,2,51,16,21,33,40,41,45,182,61,31
6,Liquefied natural gas (million gallons),N,N,N,N,N,N,N,N,N,N,N,2,2,3,3,4,9,10,14,12,13,14,15,15,15,25,23,21,19,17,14
7,Gasoline (million gallons),N,N,N,N,N,N,N,N,N,N,N,2,1,1,2,1,1,1,1,1,1,1,2,2,3,6,7,7,8,9,8
8,Other major fuelsa (million gallons),N,N,N,N,N,N,N,N,N,N,N,N,11,9,4,2,1,1,2,(R) 2,(R) 2,(R) 3,(R) 2,(R) 1,(R) 1,3,3,4,4,6,6
9,Powerb (million KWH),N,N,N,N,N,N,N,N,N,N,N,N,0,0,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,3
10,"Energy consumed, total (Billion Btu)",N,N,N,N,N,N,N,N,N,N,N,N,65971,65846,66340,67548,69801,70455,68000,"(R)64,473","(R)64,820","(R)62,291","(R)64,752","(R)62,861","(R)64,243",73511,69722,69399,84520,66819,59154
11,Diesel,28850,34398,37588,50626,59780,71860,78109,79456,82117,79855,78374,78194,64603,64261,64964,66111,67907,68218,64959,61269,61100,52048,58508,56241,55903,62121,58651,57836,55740,53170,49427
12,Compressed Natural Gas,N,N,N,N,N,N,N,N,N,N,N,225,228,398,613,749,947,1148,1462,1760,1921,2084,2454,2390,2503,3140,2783,2840,2739,2803,2975
13,Bio-diesel,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,`,107,268,6492,2027,2602,4151,4990,5158,5657,23020,7710,3953
14,Liquefied natural gas,N,N,N,N,N,N,N,N,N,N,N,144,190,274,218,372,741,829,1188,995,1116,1227,1309,1283,1261,2137,1949,1793,1618,1448,1209
15,Gasoline,N,N,N,N,N,N,N,N,N,N,N,288,125,165,189,135,127,154,132,115,180,96,231,238,354,786,859,914,1055,1098,1044
16,Other major fuela,N,N,N,N,N,N,N,N,N,N,N,N,822,745,349,173,69,96,233,(R) 213,(R) 215,(R) 331,(R) 211,(R) 96,(R) 62,329,315,349,338,580,510
17,Powerb,N,N,N,N,N,N,N,N,N,N,N,N,3,2,6,8,10,10,26,14,20,12,12,11,9,8,8,11,11,11,35
18,Energy intensity (Btu/passenger-mile),N,N,N,N,N,N,N,N,N,N,N,N,4170,"(R)3,761","(R)3,712","(R)3,615","(R)3,711","(R)3,598","(R)3,455","(R)3,362","(R)3,426","(R)3,207","(R)3,176","(R)3,083","(R)3,031",3484,3089,1838,3998,3143,2760
