,Train,2007
0,Total U.S.-Canadian border,30362
1,Total top 5 gateways,17240
2,"Port Huron, MI",4459
3,"International Falls, MN",4026
4,"Detroit, MI",3546
5,"Warroad, MN",2640
6,"Buffalo-Niagara, NY",2569
