,Â,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,TOTAL lane-miles,7922174,8017994,8051081,8087793,8124090,8132196,8143014,8158253,8178654,8242437,8160858,8177983,8224245,8251865,8295171,8315121,8338821,8371718,8420589,8457353,8483969,8542163,8581158,8567618,8606003,8656070,8766049
1,"Urban, total",1395245,1542339,1670496,1682752,1758731,1803775,1825877,1840107,1857649,1882676,1891608,1895986,1915503,1967044,2006436,2108650,2199155,2263360,2308602,2343858,2392026,2442735,2463373,2460509,2502362,2640861,2679696
2,Interstate,48458,57295,62214,62826,67266,69184,70832,71377,71790,72257,73006,73293,73912,74482,75107,79591,82926,85986,87944,89270,90763,90949,92302,92714,94096,98934,102541
3,Other arterialb,333673,371649,399376,402360,418208,435386,442474,445828,449480,453623,454060,450411,456181,457545,462855,484171,505328,523838,532933,540189,552377,568591,570521,561471,568448,581899,573545
4,Collectorc,145128,162377,167770,165288,176137,179653,183353,185032,186923,188850,187533,186334,188570,189538,190843,207356,217650,225548,231853,233853,242715,252483,257285,252041,256154,271131,298099
5,Local,867986,951018,1041136,1052278,1097120,1119552,1129218,1137870,1149456,1167946,1177009,1185948,1196840,1245479,1277631,1337532,1393251,1427988,1455872,1480546,1506171,1530712,1543265,1554283,1583665,1688897,1705510
6,"Rural, total",6526929,6475655,6380585,6405041,6365359,6328421,6317137,6318146,6321005,6359761,6269250,6281997,6308742,6284821,6288735,6206471,6139666,6108358,6111987,6113495,6091943,6099428,6117785,6107109,6103641,6015209,6086353
7,Interstate,130980,131907,135871,136503,133467,132138,131266,131916,132963,133165,133231,134198,134587,134659,134570,130384,127889,125564,124380,123512,122825,121878,123601,123835,124766,120863,118688
8,Other arterialb,507098,510005,517342,517813,526714,525906,529818,530706,532856,536989,537993,539293,540457,542337,544011,534278,532045,529555,530121,530476,530606,537392,542150,538283,538309,530579,528933
9,Collectorc,1431267,1466789,1467602,1467561,1441466,1434473,1432189,1417428,1416662,1418637,1415774,1413953,1414667,1414155,1408752,1388515,1380712,1373348,1368471,1369500,1366079,1378933,1382653,1369424,1366614,1358968,1340635
10,Local,4457584,4366954,4259770,4283164,4263712,4235904,4223864,4238096,4238524,4270970,4182252,4194553,4219031,4193670,4201402,4153294,4099020,4079891,4089015,4090007,4072433,4061225,4069380,4075567,4073952,4004799,4098098
