,Agea,Vessel type,�,Vessel type.1,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,Dry cargo,Tanker,Towboat,Passenger,Offshore support / crewboatsb,Dry barge,Tank / liquid bargec,Total,Agea,Dry cargo,Tanker,Towboat,Passenger,Offshore support / crewboatsb,Dry barge,Tank / liquid bargec,Total,
57,"1999, total",695,142,5098,970,1470,29414,3973,41766,"2011, total",851,77,5458,1784,1772,26996,4502,40521.0
58,<6,60,12,302,144,245,6640,565,7968,<6,59,17,632,258,248,6213,1200,8400.0
59,6–10,49,3,140,146,114,3192,298,3943,6–10,106,7,290,194,194,2730,628,4022.0
60,11–15,97,12,146,183,61,1231,39,1769,11–15,101,9,355,239,239,6038,496,7324.0
61,16–20,146,35,1101,120,571,7414,742,10129,16–20,66,3,163,100,100,2702,373,3510.0
62,21–25,99,30,953,95,283,5302,760,7522,21–25,111,3,132,51,51,1583,77,2113.0
63,>25,243,50,2447,282,191,5491,1560,10267,>25,408,38,3881,940,940,7460,1720,14865.0
64,"2000, total",737,135,4995,918,1414,29141,4011,41354,"2012, total",833,66,5499,861,1668,26923,4627,40530.0
65,<6,66,11,325,134,246,6721,582,8085,<6,56,17,649,29,241,6213,1432,8569.0
66,6–10,50,4,143,118,106,3051,329,3802,6–10,92,12,304,47,184,2969,655,4273.0
67,11–15,113,8,142,178,58,1565,48,2112,11–15,100,9,368,77,237,5515,480,6792.0
68,16–20,136,34,929,124,454,5846,602,8125,16–20,82,3,183,108,84,3474,412,4352.0
69,21–25,105,30,954,90,332,5365,712,7588,21–25,90,0,144,157,68,1851,155,2475.0
70,>25,263,48,2497,271,214,6461,1714,11470,>25,413,25,3850,443,853,6792,1490,13918.0
71,"2001, total",966,120,5150,733,1573,28920,4122,41588,"2013, total",844,65,5473,833,1645,26387,4694,39999.0
72,<6,114,12,369,84,305,6830,623,8337,<6,57,16,617,34,217,5334,1420,7717.0
73,6–10,76,3,167,81,111,2815,388,3641,6–10,89,14,349,49,202,3391,737,4847.0
74,11–15,132,5,125,138,68,2043,85,2596,11–15,105,8,363,65,243,4463,487,5736.0
75,16–20,139,32,692,110,372,4241,329,5916,16–20,85,2,218,94,110,4531,387,5437.0
76,21–25,154,28,972,77,452,6126,805,8614,21–25,74,2,155,143,77,2371,246,3076.0
77,>25,347,40,2818,240,262,6712,1884,12306,>25,422,21,3767,447,792,6106,1415,13028.0
78,"2002, total",989,108,5180,750,1591,28313,4068,41002,"2014, total",846,61,5476,853,1692,26387,4869,40082.0
79,<6,113,13,369,70,322,6117,595,7599,<6,55,17,566,27,198,4749,1447,7093.0
80,6–10,86,3,185,92,96,3416,419,4298,6–10,74,15,452,51,206,3979,883,5676.0
81,11–15,130,2,142,136,89,2499,172,3170,11–15,107,7,328,65,201,3743,510,4963.0
82,16–20,114,22,381,117,228,1669,134,2665,16–20,94,5,273,99,170,4991,429,6079.0
83,21–25,175,35,1091,75,547,7702,843,10468,21–25,438,2,155,143,77,2615,286,3341.0
84,>25,368,33,3004,256,305,6731,1904,12603,>25,439,15,3696,493,821,5927,1313,12852.0
