,Truck Container,2015
0,Total U.S.-Mexican border,5536865
1,Total top 5 gateways,4486128
2,"Laredo, TX",1992876
3,"Otay Mesa/San Ysidro, CA",831645
4,"El Paso, TX",763939
5,"Hidalgo, TX",551134
6,"Calexico East, CA",346534
