,Personal vehicle passengers ─ top 5 gateways,2008
0,"San Ysidro, CA",25319449
1,"El Paso, TX",21806353
2,"Laredo, TX",15397879
3,"Hidalgo, TX",13467615
4,"Brownsville, TX",13274693
