,Personal vehicles ─ top 5 gateways,2012
0,"San Ysidro, CA",11481951
1,"El Paso, TX",9461721
2,"Otay Mesa, CA",5346210
3,"Hidalgo, TX",4894486
4,"Laredo, TX",4440407
