,Train,2010
0,Total U.S.-Canadian border,26123
1,Total top 5 gateways,13993
2,"International Falls, MN",3546
3,"Port Huron, MI",3525
4,"Buffalo-Niagara, NY",2395
5,"Detroit, MI",2378
6,"Warroad, MN",2149
