,Buses – top 5 gateways,2012
0,"Buffalo-Niagara Falls, NY",23959
1,"Detroit, MI",22865
2,"Blaine, WA",15988
3,"Skagway, AK",11715
4,"Champlain-Rouses Point, NY",9935
