,Personal vehicle passengers – top 5 gateways,2015
0,"Buffalo-Niagara Falls, NY",10488584
1,"Blaine, WA",8153216
2,"Detroit, MI",6916029
3,"Port Huron, MI",3209591
4,"Champlain-Rouses Point, NY",2316270
