,"All U.S.-Mexican land gateways  2002  All personal vehicle passengers  199,020,692  All personal vehicles  89,849,415  All pedestrians  50,278,281  All bus passengers  3,926,154  All buses  309,360  All train passengers  15,108",All U.S.-Mexican land gateways,2002,All personal vehicle passengers,"199,020,692",All personal vehicles,"89,849,415",All pedestrians,"50,278,281",All bus passengers,"3,926,154",All buses,"309,360",All train passengers,"15,108","All U.S.-Mexican land gateways  2003  All personal vehicle passengers  193,697,482  All personal vehicles  88,068,391  All pedestrians  48,663,773  All bus passengers  3,746,885  All buses  319,087  All train passengers  12,101",All U.S.-Mexican land gateways.1,2003,All personal vehicle passengers.1,"193,697,482",All personal vehicles.1,"88,068,391",All pedestrians.1,"48,663,773",All bus passengers.1,"3,746,885",All buses.1,"319,087",All train passengers.1,"12,101","All U.S.-Mexican land gateways  2004  All personal vehicle passengers  190,936,607  All personal vehicles  91,133,889  All pedestrians  48,084,235  All bus passengers  3,388,517  All buses  269,027  All train passengers  12,664",All U.S.-Mexican land gateways.2,2004,All personal vehicle passengers.2,"190,936,607",All personal vehicles.2,"91,133,889",All pedestrians.2,"48,084,235",All bus passengers.2,"3,388,517",All buses.2,"269,027",All train passengers.2,"12,664","All U.S.-Mexican land gateways  2005  All personal vehicle passengers  186,067,448  All personal vehicles  91,556,319  All pedestrians  45,829,612  All bus passengers  3,169,779  All buses  256,396  All train passengers  17,833",All U.S.-Mexican land gateways.3,2005,All personal vehicle passengers.3,"186,067,448",All personal vehicles.3,"91,556,319",All pedestrians.3,"45,829,612",All bus passengers.3,"3,169,779",All buses.3,"256,396",All train passengers.3,"17,833","All U.S.-Mexican land gateways  2006  All personal vehicle passengers  179,255,014  All personal vehicles  88,295,570  All pedestrians  46,251,414  All bus passengers  3,187,282  All buses  262,862  All train passengers  21,504",All U.S.-Mexican land gateways.4,2006,All personal vehicle passengers.4,"179,255,014",All personal vehicles.4,"88,295,570",All pedestrians.4,"46,251,414",All bus passengers.4,"3,187,282",All buses.4,"262,862",All train passengers.4,"21,504","All U.S.-Mexican land gateways  2007  All personal vehicle passengers  164,534,262  All personal vehicles  81,788,235  All pedestrians  49,538,963  All bus passengers  3,389,055  All buses  265,162  All train passengers  20,482",All U.S.-Mexican land gateways.5,2007,All personal vehicle passengers.5,"164,534,262",All personal vehicles.5,"81,788,235",All pedestrians.5,"49,538,963",All bus passengers.5,"3,389,055",All buses.5,"265,162",All train passengers.5,"20,482","All U.S.-Mexican land gateways  2008  All personal vehicle passengers  157,981,839  All personal vehicles  78,856,542  All pedestrians  44,841,640  All bus passengers  3,455,630  All buses  266,414  All train passengers  22,016",All U.S.-Mexican land gateways.6,2008,All personal vehicle passengers.6,"157,981,839",All personal vehicles.6,"78,856,542",All pedestrians.6,"44,841,640",All bus passengers.6,"3,455,630",All buses.6,"266,414",All train passengers.6,"22,016"
48,All train passengers,22016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Personal vehicle passengers ─ top 5 gateways  2002  San Ysidro, CA  36,171,884  El Paso, TX  26,363,164  Hidalgo, TX  17,613,527  Laredo, TX  15,915,545  Brownsville, TX  15,820,595",Personal vehicle passengers ─ top 5 gateways,2002.0,"San Ysidro, CA",36171884.0,"El Paso, TX",26363164.0,"Hidalgo, TX",17613527.0,"Laredo, TX",15915545.0,"Brownsville, TX",15820595,"Personal vehicle passengers ─ top 5 gateways  2003  San Ysidro, CA  39,180,519  El Paso, TX  26,317,018  Brownsville, TX  15,673,205  Hidalgo, TX  15,587,611  Laredo, TX  15,208,606",Personal vehicle passengers ─ top 5 gateways,2003,"San Ysidro, CA",39180519.0,"El Paso, TX",26317018.0,"Brownsville, TX",15673205.0,"Hidalgo, TX",15587611,"Laredo, TX",15208606,"Personal vehicle passengers ─ top 5 gateways  2004  San Ysidro, CA  33,382,991  El Paso, TX  28,108,167  Hidalgo, TX  15,514,648  Brownsville, TX  15,374,317  Laredo, TX  15,032,956",Personal vehicle passengers ─ top 5 gateways,2004,"San Ysidro, CA",33382991,"El Paso, TX",28108167.0,"Hidalgo, TX",15514648.0,"Brownsville, TX",15374317,"Laredo, TX",15032956,"Personal vehicle passengers ─ top 5 gateways  2005  San Ysidro, CA  32,265,477  El Paso, TX  29,180,824  Brownsville, TX  14,614,745  Laredo, TX  14,017,324  Hidalgo, TX  13,989,453",Personal vehicle passengers ─ top 5 gateways,2005,"San Ysidro, CA",32265477,"El Paso, TX",29180824,"Brownsville, TX",14614745.0,"Laredo, TX",14017324,"Hidalgo, TX",13989453,"Personal vehicle passengers ─ top 5 gateways  2006  San Ysidro, CA  31,868,563  El Paso, TX  27,999,510  Laredo, TX  14,244,080  Brownsville, TX  14,023,353  Hidalgo, TX  12,632,201",Personal vehicle passengers ─ top 5 gateways,2006,"San Ysidro, CA",31868563,"El Paso, TX",27999510,"Laredo, TX",14244080,"Brownsville, TX",14023353,"Hidalgo, TX",12632201,"Personal vehicle passengers ─ top 5 gateways  2007  San Ysidro, CA  28,390,175  El Paso, TX  23,674,992  Laredo, TX  13,367,960  Hidalgo, TX  13,304,851  Brownsville, TX  13,062,876",Personal vehicle passengers ─ top 5 gateways,2007,"San Ysidro, CA",28390175,"El Paso, TX",23674992,"Laredo, TX",13367960,"Hidalgo, TX",13304851,"Brownsville, TX",13062876,"Personal vehicle passengers ─ top 5 gateways  2008  San Ysidro, CA  25,319,449  El Paso, TX  21,806,353  Laredo, TX  15,397,879  Hidalgo, TX  13,467,615  Brownsville, TX  13,274,693",Personal vehicle passengers ─ top 5 gateways,2008,"San Ysidro, CA",25319449,"El Paso, TX",21806353,"Laredo, TX",15397879,"Hidalgo, TX",13467615,"Brownsville, TX",13274693,,,,,,,,,,,,,,
50,Personal vehicle passengers ─ top 5 gateways,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"San Ysidro, CA",36171884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"El Paso, TX",26363164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Hidalgo, TX",17613527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Laredo, TX",15915545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Brownsville, TX",15820595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Personal vehicle passengers ─ top 5 gateways,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"San Ysidro, CA",39180519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"El Paso, TX",26317018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Brownsville, TX",15673205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Hidalgo, TX",15587611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Laredo, TX",15208606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Personal vehicle passengers ─ top 5 gateways,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"San Ysidro, CA",33382991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"El Paso, TX",28108167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Hidalgo, TX",15514648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
