,Train,2011
0,Total U.S.-Canadian border,26667
1,Total top 5 gateways,14435
2,"International Falls, MN",3672
3,"Port Huron, MI",3282
4,"Detroit, MI",2850
5,"Warroad, MN",2359
6,"Buffalo-Niagara, NY",2272
