,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Freight,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Air carrier,U,U,U,U,U,U,U,2104,2408,2379,2542,2502,2319,1795,1778,1697,1733,1158,1938,1927,1997,1961,1960,1963,2005,1869,1862,1852,1890,1855,1869
2,Class I rail,742,810,829,870,991,1069,1168,1209,1227,1278,1315,1356,1355,1369,1344,1344,1357,1382,1373,1388,1451,1438,1457,1469,1479,1478,1470,1476,1566,1594,1619
3,Coastwise (water),2408,2416,2429,2192,3082,3174,2582,2744,2835,2656,2659,2658,2456,2140,2030,2059,2013,1976,1961,2008,2042,1984,1812,1783,1796,1884,1882,1801,1661,1599,1609
4,Lakewise (water),840,795,814,853,863,843,890,861,836,827,817,828,817,815,812,806,814,818,851,852,867,869,882,874,895,853,907,899,915,917,907
5,Internal (water),454,478,531,576,652,700,756,777,771,752,775,795,768,750,759,785,775,766,777,735,730,708,717,703,714,755,749,783,765,714,755
6,Intraport (water),U,U,U,26,27,24,20,21,20,20,25,26,27,25,25,25,25,24,24,25,26,27,28,27,26,38,26,25,25,24,25
7,Crude (oil pipeline),523,515,483,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
8,Petroleum products (oil pipeline),433,539,575,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
9,Passenger,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,"Air carrier, domestic, scheduled",938,988,1091,1123,1184,1220,1292,1297,1297,1286,1267,1273,1291,1315,1307,1326,1342,1359,1370,1359,1387,1394,1404,1404,1403,1403,1413,1421,1425,1440,1445
11,Commuter rail,U,U,U,U,37,38,35,37,37,35,38,39,38,36,37,36,37,37,37,38,38,36,38,39,38,39,38,39,38,40,38
12,Amtraka,N,N,N,380,348,372,439,459,460,451,449,431,412,412,404,399,393,381,376,372,352,345,355,351,346,349,355,343,350,351,351
