,Â,1961,1971,1981,1991,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Total worlde,15200,33401,37136,47262,49658,50046,51496,53474,52093,54948,58946,56325,58973,60331,63963,66085,69124,72640,69584,60254,76148,78396,81619,86953,88752,90175
1,U.S. percent of world,43.8,32.0,21.4,18.6,24.6,24.0,23.0,22.7,23.0,23.7,21.7,20.3,20.8,20.0,18.7,18.1,16.3,14.8,12.5,9.5,10.2,11.0,12.7,12.7,13.1,13.4
2,Argentina,136,253,172,139,409,286,313,446,458,305,340,236,159,170,260,320,432,545,597,513,724,829,764,791,617,543
3,Australia,231,470,392,284,354,331,322,349,384,311,348,319,344,413,405,389,328,332,324,223,239,219,221,211,175,168
4,Austria,13,7,15,20,48,68,106,108,103,139,141,155,151,140,249,253,275,228,151,72,105,153,143,167,151,121
5,Belgium,1,296,257,337,479,468,437,430,406,291,1033,1187,1056,904,895,927,918,834,725,537,555,601,540,514,516,409
6,Brazil,145,516,780,960,1582,1629,1805,2067,1573,1344,1671,1798,1793,1827,2210,2528,2611,2971,3220,3185,3648,3144,3371,3768,3170,2454
7,Canada,391,1360,1323,1889,2321,2408,2397,2571,2173,3057,2962,2532,2629,2553,2712,2688,2571,2579,2082,1490,2068,2135,2463,2380,2394,2283
8,China,U,U,U,709,1353,1435,1466,1578,1628,1805,2009,2332,3251,4444,5071,5668,7566,8885,9233,13649,18265,18419,19272,22117,23723,24503
9,Czech Republicb,76,177,230,202,180,216,272,369,411,376,455,465,447,442,448,605,855,939,946,975,1076,1200,1179,1133,1251,1304
10,Finland,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,46,80
11,France,1205,3010,3020,3611,3558,3475,3591,2581,2954,3033,3352,3628,3693,3620,3352,3549,3174,3016,2568,2043,2219,2278,2011,1781,1851,2015
12,Germany,2213,4141,4116,5035,4356,4667,4843,5023,5727,5688,5198,5692,5145,5507,5570,5758,5820,6213,6046,5210,5906,6311,5797,5877,6051,6186
13,India,54,89,149,355,475,636,762,746,513,780,796,825,892,1161,1511,1642,1958,2250,2316,2643,3554,3940,4149,3896,3865,4150
14,Italy,759,1817,1433,1878,1534,1667,1545,1817,1693,1701,1738,1580,1427,1322,1142,1038,1212,1284,1024,843,836,790,672,658,698,1014
15,Japan,1039,5811,11180,13245,10554,10196,10346,10975,10050,9905,10145,9777,10258,10286,10512,10800,11484,11596,11564,7935,9626,8399,9943,9630,9775,9278
16,Malaysia,U,U,U,102,137,164,176,280,134,205,295,359,U,U,U,U,U,U,U,U,U,U,U,U,U,U
17,Mexico,U,211,597,989,1123,935,1220,1358,1453,1534,1923,1857,1805,1575,1553,1684,2046,2095,2168,1561,2342,2681,3002,3051,3368,3565
18,Netherlands,19,91,90,111,115,132,164,218,271,287,267,239,231,219,248,181,159,139,132,77,94,110,66,68,95,133
19,Poland,36,146,308,193,365,381,401,322,499,695,556,387,310,300,592,612,716,875,1006,907,895,835,645,588,589,656
20,Portugal,U,U,U,26,125,57,132,267,271,252,247,240,251,239,227,221,227,176,175,126,159,192,164,154,162,157
21,Romania,U,U,U,94,90,93,99,129,127,107,72,69,U,U,U,U,U,U,U,U,U,U,U,U,U,U
22,Russia,555,1130,2198,2052,1002,994,1004,1174,U,1172,1203,1250,1220,1280,1385,1353,1507,1672,1794,722,1404,1989,2232,2176,1887,1379
23,Slovakia,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,218,295,571,576,463,563,586,844,906,902,957
24,South Africa,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,516,588,534,563,374,472,533,539,546,566,592
25,South Korea,U,U,134,1498,2312,2526,2813,2818,1954,2832,3115,2946,3148,3178,3469,3699,3840,4086,3827,3513,4272,4657,4558,4522,4525,4556
26,Spain,75,532,987,2082,2142,2334,2412,2562,2826,2672,3033,2850,2855,3030,3012,2753,2777,2890,2542,2164,2388,2354,1979,2163,2403,2733
27,Sweden,132,317,313,344,435,490,463,480,483,494,296,286,276,323,339,324,327,361,299,152,208,232,200,199,188,230
28,Taiwan,U,U,U,382,423,406,366,381,405,350,365,272,337,387,431,446,303,283,183,226,U,U,U,U,U,U
29,Turkey,U,25,47,242,244,282,277,344,U,U,431,271,347,534,823,879,988,1099,1147,870,1095,1189,1073,1126,1170,1359
30,United Kingdom,1447,2198,1185,1454,1695,1765,1924,1936,1981,1973,1817,1685,1821,1846,1856,1803,1650,1750,1649,1090,1393,1464,1576,1597,1599,1682
31,United States,6653,10672,7943,8790,12239,11995,11830,12131,12003,13025,12774,11425,12280,12087,11960,11947,11260,10752,8672,5709,7743,8655,10333,11066,11661,12105
32,Venezuela,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,155,172,172,135,112,104,102,104,72,20,18
33,"Yugoslavia, Federal Republic ofc",20,132,267,239,9,10,10,14,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
