,Truck,2002
0,Total U.S.-Mexican border,4426593
1,Total top 5 gateways,3544815
2,"Laredo, TX",1441653
3,"Otay Mesa, CA",731291
4,"El Paso, TX",705199
5,"Hidalgo, TX",390282
6,"Calexico East, CA",276390
