,Truck Container,2006
0,Total U.S.-Canadian border,6669623
1,Total top 5 gateways,4412181
2,"Detroit, MI",1715969
3,"Buffalo-Niagara, NY",1118120
4,"Port Huron, MI",833711
5,"Champlain-Rouse Pt., NY",391541
6,"Blaine, WA",352840
